Country/Region,timestamp,conf_cases,recov_cases,death_cases,death_rate,recover_rate
Iraq,2020-03-09,60,9,6,0.1,0.15
Argentina,2020-03-09,12,0,1,0.08333333333333333,0.0
Italy,2020-03-09,9172,724,463,0.050479720889664195,0.07893589184474488
Philippines,2020-03-09,20,1,1,0.05,0.05
Australia,2020-03-09,91,21,4,0.04395604395604396,0.23076923076923078
Mainland China,2020-03-09,80735,58735,3120,0.03864494952622778,0.7275035610330093
US,2020-03-09,605,8,22,0.03636363636363636,0.013223140495867768
Japan,2020-03-09,511,76,17,0.033268101761252444,0.1487279843444227
Iran,2020-03-09,7161,2394,237,0.03309593632174277,0.3343108504398827
San Marino,2020-03-09,36,0,1,0.027777777777777776,0.0
Spain,2020-03-09,1073,32,28,0.0260950605778192,0.02982292637465051
Hong Kong,2020-03-09,115,59,3,0.02608695652173913,0.5130434782608696
Taiwan,2020-03-09,45,15,1,0.022222222222222223,0.3333333333333333
Thailand,2020-03-09,50,31,1,0.02,0.62
Egypt,2020-03-09,55,12,1,0.01818181818181818,0.21818181818181817
France,2020-03-09,1209,12,19,0.015715467328370553,0.009925558312655087
Canada,2020-03-09,77,8,1,0.012987012987012988,0.1038961038961039
UK,2020-03-09,321,18,4,0.012461059190031152,0.056074766355140186
Netherlands,2020-03-09,321,0,3,0.009345794392523364,0.0
Others,2020-03-09,696,40,6,0.008620689655172414,0.05747126436781609
South Korea,2020-03-09,7478,118,53,0.007087456539181599,0.015779620219309978
Switzerland,2020-03-09,374,3,2,0.0053475935828877,0.008021390374331552
Germany,2020-03-09,1176,18,2,0.0017006802721088435,0.015306122448979591
