Country/Region,timestamp,conf_cases,recov_cases,death_cases
Afghanistan,2020-03-09,4,0,0
Albania,2020-03-09,2,0,0
Algeria,2020-03-09,20,0,0
Andorra,2020-03-09,1,0,0
Argentina,2020-03-09,12,0,1
Armenia,2020-03-09,1,0,0
Australia,2020-03-09,91,21,4
Austria,2020-03-09,131,2,0
Azerbaijan,2020-03-09,9,0,0
Bahrain,2020-03-09,95,14,0
Bangladesh,2020-03-09,3,0,0
Belarus,2020-03-09,6,1,0
Belgium,2020-03-09,239,1,0
Bhutan,2020-03-09,1,0,0
Bosnia and Herzegovina,2020-03-09,3,0,0
Brazil,2020-03-09,25,0,0
Brunei,2020-03-09,1,0,0
Bulgaria,2020-03-09,4,0,0
Cambodia,2020-03-09,2,1,0
Cameroon,2020-03-09,2,0,0
Canada,2020-03-09,77,8,1
Chile,2020-03-09,8,0,0
Colombia,2020-03-09,1,0,0
Costa Rica,2020-03-09,9,0,0
Croatia,2020-03-09,12,0,0
Cyprus,2020-03-09,2,0,0
Czech Republic,2020-03-09,31,0,0
Denmark,2020-03-09,90,1,0
Dominican Republic,2020-03-09,5,0,0
Ecuador,2020-03-09,15,0,0
Egypt,2020-03-09,55,12,1
Estonia,2020-03-09,10,0,0
Faroe Islands,2020-03-09,2,0,0
Finland,2020-03-09,30,1,0
France,2020-03-09,1209,12,19
French Guiana,2020-03-09,5,0,0
Georgia,2020-03-09,15,0,0
Germany,2020-03-09,1176,18,2
Gibraltar,2020-03-09,1,0,0
Greece,2020-03-09,73,0,0
Hong Kong,2020-03-09,115,59,3
Hungary,2020-03-09,9,0,0
Iceland,2020-03-09,58,0,0
India,2020-03-09,43,3,0
Indonesia,2020-03-09,19,0,0
Iran,2020-03-09,7161,2394,237
Iraq,2020-03-09,60,9,6
Ireland,2020-03-09,21,0,0
Israel,2020-03-09,39,2,0
Italy,2020-03-09,9172,724,463
Japan,2020-03-09,511,76,17
Jordan,2020-03-09,1,0,0
Kuwait,2020-03-09,64,1,0
Latvia,2020-03-09,6,0,0
Lebanon,2020-03-09,32,1,0
Liechtenstein,2020-03-09,1,0,0
Lithuania,2020-03-09,1,0,0
Luxembourg,2020-03-09,3,0,0
Macau,2020-03-09,10,10,0
Mainland China,2020-03-09,80735,58735,3120
Malaysia,2020-03-09,117,24,0
Maldives,2020-03-09,4,0,0
Malta,2020-03-09,3,0,0
Martinique,2020-03-09,2,0,0
Mexico,2020-03-09,7,1,0
Moldova,2020-03-09,1,0,0
Monaco,2020-03-09,1,0,0
Morocco,2020-03-09,2,0,0
Nepal,2020-03-09,1,1,0
Netherlands,2020-03-09,321,0,3
New Zealand,2020-03-09,5,0,0
Nigeria,2020-03-09,2,0,0
North Macedonia,2020-03-09,3,0,0
Norway,2020-03-09,205,1,0
Oman,2020-03-09,16,2,0
Others,2020-03-09,696,40,6
Pakistan,2020-03-09,6,1,0
Palestine,2020-03-09,22,0,0
Paraguay,2020-03-09,1,0,0
Peru,2020-03-09,7,0,0
Philippines,2020-03-09,20,1,1
Poland,2020-03-09,16,0,0
Portugal,2020-03-09,30,0,0
Qatar,2020-03-09,18,0,0
Romania,2020-03-09,15,3,0
Russia,2020-03-09,17,3,0
Saint Barthelemy,2020-03-09,1,0,0
San Marino,2020-03-09,36,0,1
Saudi Arabia,2020-03-09,15,0,0
Senegal,2020-03-09,4,1,0
Serbia,2020-03-09,1,0,0
Singapore,2020-03-09,150,78,0
Slovakia,2020-03-09,3,0,0
Slovenia,2020-03-09,16,0,0
South Africa,2020-03-09,3,0,0
South Korea,2020-03-09,7478,118,53
Spain,2020-03-09,1073,32,28
Sri Lanka,2020-03-09,1,1,0
St. Martin,2020-03-09,2,0,0
Sweden,2020-03-09,248,1,0
Switzerland,2020-03-09,374,3,2
Taiwan,2020-03-09,45,15,1
Thailand,2020-03-09,50,31,1
Togo,2020-03-09,1,0,0
Tunisia,2020-03-09,2,0,0
UK,2020-03-09,321,18,4
US,2020-03-09,605,8,22
Ukraine,2020-03-09,1,0,0
United Arab Emirates,2020-03-09,45,7,0
Vatican City,2020-03-09,1,0,0
Vietnam,2020-03-09,30,16,0
