Country/Region,timestamp,conf_cases,recov_cases,death_cases,death_rate,recover_rate
Vietnam,2020-03-04,16,16,0,0.0,1.0
Cambodia,2020-03-04,1,1,0,0.0,1.0
Sri Lanka,2020-03-04,1,1,0,0.0,1.0
Nepal,2020-03-04,1,1,0,0.0,1.0
Macau,2020-03-04,10,9,0,0.0,0.9
Thailand,2020-03-04,43,31,1,0.023255813953488372,0.7209302325581395
Singapore,2020-03-04,110,78,0,0.0,0.7090909090909091
Russia,2020-03-04,3,2,0,0.0,0.6666666666666666
Mainland China,2020-03-04,80271,49955,2981,0.03713669943067858,0.6223293592953869
Egypt,2020-03-04,2,1,0,0.0,0.5
Malaysia,2020-03-04,50,22,0,0.0,0.44
Hong Kong,2020-03-04,105,37,2,0.01904761904761905,0.3523809523809524
Philippines,2020-03-04,3,1,1,0.3333333333333333,0.3333333333333333
Taiwan,2020-03-04,42,12,1,0.023809523809523808,0.2857142857142857
Romania,2020-03-04,4,1,0,0.0,0.25
Australia,2020-03-04,52,11,2,0.038461538461538464,0.21153846153846154
Mexico,2020-03-04,5,1,0,0.0,0.2
Iran,2020-03-04,2922,552,92,0.03148528405201916,0.188911704312115
United Arab Emirates,2020-03-04,27,5,0,0.0,0.18518518518518517
Canada,2020-03-04,33,6,0,0.0,0.18181818181818182
Finland,2020-03-04,6,1,0,0.0,0.16666666666666666
Oman,2020-03-04,15,2,0,0.0,0.13333333333333333
Japan,2020-03-04,331,43,6,0.01812688821752266,0.1299093655589124
India,2020-03-04,28,3,0,0.0,0.10714285714285714
UK,2020-03-04,85,8,0,0.0,0.09411764705882353
Italy,2020-03-04,3089,276,107,0.03463904176108773,0.08934930398187116
Lebanon,2020-03-04,13,1,0,0.0,0.07692307692307693
Israel,2020-03-04,15,1,0,0.0,0.06666666666666667
Germany,2020-03-04,262,16,0,0.0,0.061068702290076333
US,2020-03-04,153,8,11,0.0718954248366013,0.05228758169934641
Belgium,2020-03-04,23,1,0,0.0,0.043478260869565216
France,2020-03-04,285,12,4,0.014035087719298246,0.042105263157894736
Switzerland,2020-03-04,90,3,0,0.0,0.03333333333333333
Others,2020-03-04,706,10,6,0.0084985835694051,0.014164305949008499
Spain,2020-03-04,222,2,2,0.009009009009009009,0.009009009009009009
South Korea,2020-03-04,5621,41,35,0.0062266500622665,0.007294075787226472
