Country,Country_Code,Time_Stamp,Cases
Australia,AUS,1/21/20 22:00,0.0
Belgium,BEL,1/21/20 22:00,0.0
Cambodia,KHM,1/21/20 22:00,0.0
Canada,CAN,1/21/20 22:00,0.0
Finland,FIN,1/21/20 22:00,0.0
France,FRA,1/21/20 22:00,0.0
Germany,DEU,1/21/20 22:00,0.0
Hong Kong,HKG,1/21/20 22:00,0.0
India,IND,1/21/20 22:00,0.0
Italy,ITA,1/21/20 22:00,0.0
Japan,JPN,1/21/20 22:00,1.0
Macao,MAC,1/21/20 22:00,0.0
Malaysia,MYS,1/21/20 22:00,0.0
Nepal,NPL,1/21/20 22:00,0.0
Philippines,PHL,1/21/20 22:00,0.0
Russian Federation,RUS,1/21/20 22:00,0.0
Singapore,SGP,1/21/20 22:00,0.0
"Korea, Republic of",KOR,1/21/20 22:00,0.0
Spain,ESP,1/21/20 22:00,0.0
Sri Lanka,LKA,1/21/20 22:00,0.0
Sweden,SWE,1/21/20 22:00,0.0
"Taiwan, Province of China",TWN,1/21/20 22:00,1.0
Thailand,THA,1/21/20 22:00,2.0
United Kingdom,GBR,1/21/20 22:00,0.0
United States,USA,1/21/20 22:00,1.0
United Arab Emirates,ARE,1/21/20 22:00,0.0
Viet Nam,VNM,1/21/20 22:00,0.0
Australia,AUS,1/22/20 12:00,0.0
Belgium,BEL,1/22/20 12:00,0.0
Cambodia,KHM,1/22/20 12:00,0.0
Canada,CAN,1/22/20 12:00,0.0
Finland,FIN,1/22/20 12:00,0.0
France,FRA,1/22/20 12:00,0.0
Germany,DEU,1/22/20 12:00,0.0
Hong Kong,HKG,1/22/20 12:00,0.0
India,IND,1/22/20 12:00,0.0
Italy,ITA,1/22/20 12:00,0.0
Japan,JPN,1/22/20 12:00,2.0
Macao,MAC,1/22/20 12:00,1.0
Malaysia,MYS,1/22/20 12:00,0.0
Nepal,NPL,1/22/20 12:00,0.0
Philippines,PHL,1/22/20 12:00,0.0
Russian Federation,RUS,1/22/20 12:00,0.0
Singapore,SGP,1/22/20 12:00,0.0
"Korea, Republic of",KOR,1/22/20 12:00,1.0
Spain,ESP,1/22/20 12:00,0.0
Sri Lanka,LKA,1/22/20 12:00,0.0
Sweden,SWE,1/22/20 12:00,0.0
"Taiwan, Province of China",TWN,1/22/20 12:00,1.0
Thailand,THA,1/22/20 12:00,2.0
United Kingdom,GBR,1/22/20 12:00,0.0
United States,USA,1/22/20 12:00,1.0
United Arab Emirates,ARE,1/22/20 12:00,0.0
Viet Nam,VNM,1/22/20 12:00,0.0
Australia,AUS,1/23/20 12:00,0.0
Belgium,BEL,1/23/20 12:00,0.0
Cambodia,KHM,1/23/20 12:00,0.0
Canada,CAN,1/23/20 12:00,0.0
Finland,FIN,1/23/20 12:00,0.0
France,FRA,1/23/20 12:00,0.0
Germany,DEU,1/23/20 12:00,0.0
Hong Kong,HKG,1/23/20 12:00,2.0
India,IND,1/23/20 12:00,0.0
Italy,ITA,1/23/20 12:00,0.0
Japan,JPN,1/23/20 12:00,2.0
Macao,MAC,1/23/20 12:00,2.0
Malaysia,MYS,1/23/20 12:00,0.0
Nepal,NPL,1/23/20 12:00,0.0
Philippines,PHL,1/23/20 12:00,0.0
Russian Federation,RUS,1/23/20 12:00,0.0
Singapore,SGP,1/23/20 12:00,1.0
"Korea, Republic of",KOR,1/23/20 12:00,1.0
Spain,ESP,1/23/20 12:00,0.0
Sri Lanka,LKA,1/23/20 12:00,0.0
Sweden,SWE,1/23/20 12:00,0.0
"Taiwan, Province of China",TWN,1/23/20 12:00,1.0
Thailand,THA,1/23/20 12:00,3.0
United Kingdom,GBR,1/23/20 12:00,0.0
United States,USA,1/23/20 12:00,1.0
United Arab Emirates,ARE,1/23/20 12:00,0.0
Viet Nam,VNM,1/23/20 12:00,2.0
Australia,AUS,1/24/20 0:00,0.0
Belgium,BEL,1/24/20 0:00,0.0
Cambodia,KHM,1/24/20 0:00,0.0
Canada,CAN,1/24/20 0:00,0.0
Finland,FIN,1/24/20 0:00,0.0
France,FRA,1/24/20 0:00,0.0
Germany,DEU,1/24/20 0:00,0.0
Hong Kong,HKG,1/24/20 0:00,2.0
India,IND,1/24/20 0:00,0.0
Italy,ITA,1/24/20 0:00,0.0
Japan,JPN,1/24/20 0:00,2.0
Macao,MAC,1/24/20 0:00,2.0
Malaysia,MYS,1/24/20 0:00,0.0
Nepal,NPL,1/24/20 0:00,0.0
Philippines,PHL,1/24/20 0:00,0.0
Russian Federation,RUS,1/24/20 0:00,0.0
Singapore,SGP,1/24/20 0:00,1.0
"Korea, Republic of",KOR,1/24/20 0:00,1.0
Spain,ESP,1/24/20 0:00,0.0
Sri Lanka,LKA,1/24/20 0:00,0.0
Sweden,SWE,1/24/20 0:00,0.0
"Taiwan, Province of China",TWN,1/24/20 0:00,1.0
Thailand,THA,1/24/20 0:00,4.0
United Kingdom,GBR,1/24/20 0:00,0.0
United States,USA,1/24/20 0:00,1.0
United Arab Emirates,ARE,1/24/20 0:00,0.0
Viet Nam,VNM,1/24/20 0:00,2.0
Australia,AUS,1/24/20 12:00,0.0
Belgium,BEL,1/24/20 12:00,0.0
Cambodia,KHM,1/24/20 12:00,0.0
Canada,CAN,1/24/20 12:00,0.0
Finland,FIN,1/24/20 12:00,0.0
France,FRA,1/24/20 12:00,2.0
Germany,DEU,1/24/20 12:00,0.0
Hong Kong,HKG,1/24/20 12:00,2.0
India,IND,1/24/20 12:00,0.0
Italy,ITA,1/24/20 12:00,0.0
Japan,JPN,1/24/20 12:00,2.0
Macao,MAC,1/24/20 12:00,2.0
Malaysia,MYS,1/24/20 12:00,0.0
Nepal,NPL,1/24/20 12:00,0.0
Philippines,PHL,1/24/20 12:00,0.0
Russian Federation,RUS,1/24/20 12:00,0.0
Singapore,SGP,1/24/20 12:00,3.0
"Korea, Republic of",KOR,1/24/20 12:00,2.0
Spain,ESP,1/24/20 12:00,0.0
Sri Lanka,LKA,1/24/20 12:00,0.0
Sweden,SWE,1/24/20 12:00,0.0
"Taiwan, Province of China",TWN,1/24/20 12:00,3.0
Thailand,THA,1/24/20 12:00,5.0
United Kingdom,GBR,1/24/20 12:00,0.0
United States,USA,1/24/20 12:00,2.0
United Arab Emirates,ARE,1/24/20 12:00,0.0
Viet Nam,VNM,1/24/20 12:00,2.0
Australia,AUS,1/25/20 0:00,0.0
Belgium,BEL,1/25/20 0:00,0.0
Cambodia,KHM,1/25/20 0:00,0.0
Canada,CAN,1/25/20 0:00,0.0
Finland,FIN,1/25/20 0:00,0.0
France,FRA,1/25/20 0:00,3.0
Germany,DEU,1/25/20 0:00,0.0
Hong Kong,HKG,1/25/20 0:00,5.0
India,IND,1/25/20 0:00,0.0
Italy,ITA,1/25/20 0:00,0.0
Japan,JPN,1/25/20 0:00,2.0
Macao,MAC,1/25/20 0:00,2.0
Malaysia,MYS,1/25/20 0:00,3.0
Nepal,NPL,1/25/20 0:00,1.0
Philippines,PHL,1/25/20 0:00,0.0
Russian Federation,RUS,1/25/20 0:00,0.0
Singapore,SGP,1/25/20 0:00,3.0
"Korea, Republic of",KOR,1/25/20 0:00,2.0
Spain,ESP,1/25/20 0:00,0.0
Sri Lanka,LKA,1/25/20 0:00,0.0
Sweden,SWE,1/25/20 0:00,0.0
"Taiwan, Province of China",TWN,1/25/20 0:00,3.0
Thailand,THA,1/25/20 0:00,5.0
United Kingdom,GBR,1/25/20 0:00,0.0
United States,USA,1/25/20 0:00,2.0
United Arab Emirates,ARE,1/25/20 0:00,0.0
