Country/Region,timestamp,conf_cases,recov_cases,death_cases
Australia,2020-01-22,0,0.0,0
Belgium,2020-01-22,0,0.0,0
Cambodia,2020-01-22,0,0.0,0
Canada,2020-01-22,0,0.0,0
Egypt,2020-01-22,0,0.0,0
Finland,2020-01-22,0,0.0,0
France,2020-01-22,0,0.0,0
Germany,2020-01-22,0,0.0,0
Hong Kong,2020-01-22,0,0.0,0
India,2020-01-22,0,0.0,0
Italy,2020-01-22,0,0.0,0
Japan,2020-01-22,2,0.0,0
Macau,2020-01-22,1,0.0,0
Mainland China,2020-01-22,547,28.0,17
Malaysia,2020-01-22,0,0.0,0
Nepal,2020-01-22,0,0.0,0
Others,2020-01-22,0,0.0,0
Philippines,2020-01-22,0,0.0,0
Russia,2020-01-22,0,0.0,0
Singapore,2020-01-22,0,0.0,0
South Korea,2020-01-22,1,0.0,0
Spain,2020-01-22,0,0.0,0
Sri Lanka,2020-01-22,0,0.0,0
Sweden,2020-01-22,0,0.0,0
Taiwan,2020-01-22,1,0.0,0
Thailand,2020-01-22,2,0.0,0
UK,2020-01-22,0,0.0,0
US,2020-01-22,1,0.0,0
United Arab Emirates,2020-01-22,0,0.0,0
Vietnam,2020-01-22,0,0.0,0
Australia,2020-01-23,0,0.0,0
Belgium,2020-01-23,0,0.0,0
Cambodia,2020-01-23,0,0.0,0
Canada,2020-01-23,0,0.0,0
Egypt,2020-01-23,0,0.0,0
Finland,2020-01-23,0,0.0,0
France,2020-01-23,0,0.0,0
Germany,2020-01-23,0,0.0,0
Hong Kong,2020-01-23,2,0.0,0
India,2020-01-23,0,0.0,0
Italy,2020-01-23,0,0.0,0
Japan,2020-01-23,1,0.0,0
Macau,2020-01-23,2,0.0,0
Mainland China,2020-01-23,639,30.0,18
Malaysia,2020-01-23,0,0.0,0
Nepal,2020-01-23,0,0.0,0
Others,2020-01-23,0,0.0,0
Philippines,2020-01-23,0,0.0,0
Russia,2020-01-23,0,0.0,0
Singapore,2020-01-23,1,0.0,0
South Korea,2020-01-23,1,0.0,0
Spain,2020-01-23,0,0.0,0
Sri Lanka,2020-01-23,0,0.0,0
Sweden,2020-01-23,0,0.0,0
Taiwan,2020-01-23,1,0.0,0
Thailand,2020-01-23,3,0.0,0
UK,2020-01-23,0,0.0,0
US,2020-01-23,1,0.0,0
United Arab Emirates,2020-01-23,0,0.0,0
Vietnam,2020-01-23,2,0.0,0
Australia,2020-01-24,0,0.0,0
Belgium,2020-01-24,0,0.0,0
Cambodia,2020-01-24,0,0.0,0
Canada,2020-01-24,0,0.0,0
Egypt,2020-01-24,0,0.0,0
Finland,2020-01-24,0,0.0,0
France,2020-01-24,2,0.0,0
Germany,2020-01-24,0,0.0,0
Hong Kong,2020-01-24,2,0.0,0
India,2020-01-24,0,0.0,0
Italy,2020-01-24,0,0.0,0
Japan,2020-01-24,2,0.0,0
Macau,2020-01-24,2,0.0,0
Mainland China,2020-01-24,916,36.0,26
Malaysia,2020-01-24,0,0.0,0
Nepal,2020-01-24,0,0.0,0
Others,2020-01-24,0,0.0,0
Philippines,2020-01-24,0,0.0,0
Russia,2020-01-24,0,0.0,0
Singapore,2020-01-24,3,0.0,0
South Korea,2020-01-24,2,0.0,0
Spain,2020-01-24,0,0.0,0
Sri Lanka,2020-01-24,0,0.0,0
Sweden,2020-01-24,0,0.0,0
Taiwan,2020-01-24,3,0.0,0
Thailand,2020-01-24,5,0.0,0
UK,2020-01-24,0,0.0,0
US,2020-01-24,2,0.0,0
United Arab Emirates,2020-01-24,0,0.0,0
Vietnam,2020-01-24,2,0.0,0
Australia,2020-01-25,0,0.0,0
Belgium,2020-01-25,0,0.0,0
Cambodia,2020-01-25,0,0.0,0
Canada,2020-01-25,0,0.0,0
Egypt,2020-01-25,0,0.0,0
Finland,2020-01-25,0,0.0,0
France,2020-01-25,3,0.0,0
Germany,2020-01-25,0,0.0,0
Hong Kong,2020-01-25,5,0.0,0
India,2020-01-25,0,0.0,0
Italy,2020-01-25,0,0.0,0
Japan,2020-01-25,2,0.0,0
Macau,2020-01-25,2,0.0,0
Mainland China,2020-01-25,1399,39.0,42
Malaysia,2020-01-25,3,0.0,0
Nepal,2020-01-25,1,0.0,0
Others,2020-01-25,0,0.0,0
Philippines,2020-01-25,0,0.0,0
Russia,2020-01-25,0,0.0,0
Singapore,2020-01-25,3,0.0,0
South Korea,2020-01-25,2,0.0,0
Spain,2020-01-25,0,0.0,0
Sri Lanka,2020-01-25,0,0.0,0
Sweden,2020-01-25,0,0.0,0
Taiwan,2020-01-25,3,0.0,0
Thailand,2020-01-25,7,0.0,0
UK,2020-01-25,0,0.0,0
US,2020-01-25,2,0.0,0
United Arab Emirates,2020-01-25,0,0.0,0
Vietnam,2020-01-25,2,0.0,0
