Country/Region,timestamp,conf_cases,recov_cases,death_cases,death_rate,recover_rate
Philippines,2020-02-23,3,1,1,0.3333333333333333,0.3333333333333333
Iran,2020-02-23,43,0,8,0.18604651162790697,0.0
France,2020-02-23,12,4,1,0.08333333333333333,0.3333333333333333
Taiwan,2020-02-23,28,2,1,0.03571428571428571,0.07142857142857142
Mainland China,2020-02-23,76938,23170,2443,0.031752839949049885,0.3011515765941407
Hong Kong,2020-02-23,74,11,2,0.02702702702702703,0.14864864864864866
Italy,2020-02-23,155,2,3,0.01935483870967742,0.012903225806451613
South Korea,2020-02-23,602,18,6,0.009966777408637873,0.029900332225913623
Japan,2020-02-23,147,22,1,0.006802721088435374,0.14965986394557823
Others,2020-02-23,691,0,3,0.004341534008683068,0.0
